Tijd ,load
2023-01-01 01:00,26367.38455
2023-01-01 02:00,35285.62778
2023-01-01 03:00,37859.64685
2023-01-01 04:00,41412.06449
2023-01-01 05:00,58173.40883
2023-01-01 06:00,222582.1628
2023-01-01 07:00,213943.6228
2023-01-01 08:00,202354.6207
2023-01-01 09:00,247513.0208
2023-01-01 10:00,278131.4715
2023-01-01 11:00,257038.2437
2023-01-01 12:00,221807.3024
2023-01-01 13:00,222731.0395
2023-01-01 14:00,219195.3896
2023-01-01 15:00,204464.4358
2023-01-01 16:00,238507.1989
2023-01-01 17:00,216957.3655
2023-01-01 18:00,232379.5946
2023-01-01 19:00,263557.743
2023-01-01 20:00,264812.8093
2023-01-01 21:00,254597.4247
2023-01-01 22:00,247687.9467
2023-01-01 23:00,226346.7425
2023-01-02 00:00,115644.9966
2023-01-02 01:00,73419.63404
2023-01-02 02:00,70756.55488
2023-01-02 03:00,67337.68422
2023-01-02 04:00,49812.28113
2023-01-02 05:00,66377.87874
2023-01-02 06:00,240109.5533
2023-01-02 07:00,234901.3527
2023-01-02 08:00,220318.4274
2023-01-02 09:00,260397.3092
2023-01-02 10:00,295131.5434
2023-01-02 11:00,270133.015
2023-01-02 12:00,233117.7656
2023-01-02 13:00,233709.7714
2023-01-02 14:00,229283.2322
2023-01-02 15:00,211933.6781
2023-01-02 16:00,243038.7467
2023-01-02 17:00,220606.5647
2023-01-02 18:00,233350.9681
2023-01-02 19:00,261424.6512
2023-01-02 20:00,265095.9185
2023-01-02 21:00,253614.2725
2023-01-02 22:00,240235.1534
2023-01-02 23:00,216468.1836
2023-01-03 00:00,106189.6301
2023-01-03 01:00,67966.05536
2023-01-03 02:00,70559.20383
2023-01-03 03:00,59866.09909
2023-01-03 04:00,45458.66395
2023-01-03 05:00,63843.46412
2023-01-03 06:00,238129.182
2023-01-03 07:00,233582.5299
2023-01-03 08:00,216425.5858
2023-01-03 09:00,256708.0779
2023-01-03 10:00,293841.774
2023-01-03 11:00,269205.4092
2023-01-03 12:00,232083.4314
2023-01-03 13:00,230828.3688
2023-01-03 14:00,226756.9117
2023-01-03 15:00,210176.7217
2023-01-03 16:00,243434.0959
2023-01-03 17:00,221206.9865
2023-01-03 18:00,235649.9302
2023-01-03 19:00,263968.4481
2023-01-03 20:00,256856.4267
2023-01-03 21:00,222289.2805
2023-01-03 22:00,206983.9646
2023-01-03 23:00,175934.6202
2023-01-04 00:00,81465.79089
2023-01-04 01:00,42415.56004
2023-01-04 02:00,47162.12875
2023-01-04 03:00,42348.33243
2023-01-04 04:00,31683.87155
2023-01-04 05:00,46439.49683
2023-01-04 06:00,211082.0272
2023-01-04 07:00,195548.542
2023-01-04 08:00,176842.5535
2023-01-04 09:00,223805.8889
2023-01-04 10:00,245075.9116
2023-01-04 11:00,240032.7336
2023-01-04 12:00,245633.1913
2023-01-04 13:00,251779.8586
2023-01-04 14:00,256321.8997
2023-01-04 15:00,245084.037
2023-01-04 16:00,262774.2997
2023-01-04 17:00,254453.2237
2023-01-04 18:00,268428.5498
2023-01-04 19:00,290100.8628
2023-01-04 20:00,286440.9473
2023-01-04 21:00,248957.7517
2023-01-04 22:00,232891.4108
2023-01-04 23:00,217133.3088
2023-01-05 00:00,115154.2222
2023-01-05 01:00,80103.05315
2023-01-05 02:00,86677.71093
2023-01-05 03:00,82765.55164
2023-01-05 04:00,63677.82551
2023-01-05 05:00,93794.94502
2023-01-05 06:00,279482.6456
2023-01-05 07:00,276009.2717
2023-01-05 08:00,270572.0138
2023-01-05 09:00,321655.3274
2023-01-05 10:00,351312.2499
2023-01-05 11:00,343375.9118
2023-01-05 12:00,333986.6688
2023-01-05 13:00,337248.5118
