,date_time,decreased_low_price
9,1/1/2023 9:00,77.11
10,1/1/2023 10:00,84.48
11,1/1/2023 11:00,92.51
12,1/1/2023 12:00,104.17
13,1/1/2023 13:00,106.48
16,1/1/2023 16:00,123.2
17,1/1/2023 17:00,165
32,1/2/2023 8:00,53.9
33,1/2/2023 9:00,66
34,1/2/2023 10:00,77.11
42,1/2/2023 18:00,76.23
43,1/2/2023 19:00,76.45
54,1/3/2023 6:00,38.72
55,1/3/2023 7:00,97.35
56,1/3/2023 8:00,105.6
63,1/3/2023 15:00,128.7
64,1/3/2023 16:00,141.9
65,1/3/2023 17:00,162.8
66,1/3/2023 18:00,178.2
78,1/4/2023 6:00,172.7
79,1/4/2023 7:00,201.3
80,1/4/2023 8:00,
81,1/4/2023 9:00,209
89,1/4/2023 17:00,209
103,1/5/2023 7:00,152.9
104,1/5/2023 8:00,200.2
111,1/5/2023 15:00,227.7
112,1/5/2023 16:00,238.7
113,1/5/2023 17:00,265.1
126,1/6/2023 6:00,242
127,1/6/2023 7:00,250.8
128,1/6/2023 8:00,277.2
129,1/6/2023 9:00,330
137,1/6/2023 17:00,301.4
149,1/7/2023 5:00,104.72
150,1/7/2023 6:00,156.2
151,1/7/2023 7:00,180.4
152,1/7/2023 8:00,236.5
153,1/7/2023 9:00,268.4
160,1/7/2023 16:00,255.2
161,1/7/2023 17:00,268.4
162,1/7/2023 18:00,291.5
175,1/8/2023 7:00,201.3
176,1/8/2023 8:00,237.6
177,1/8/2023 9:00,254.1
187,1/8/2023 19:00,233.2
200,1/9/2023 8:00,107.03
201,1/9/2023 9:00,139.7
202,1/9/2023 10:00,149.6
203,1/9/2023 11:00,160.6
204,1/9/2023 12:00,182.6
207,1/9/2023 15:00,207.9
208,1/9/2023 16:00,210.1
209,1/9/2023 17:00,245.3
210,1/9/2023 18:00,268.4
222,1/10/2023 6:00,260.7
223,1/10/2023 7:00,330
224,1/10/2023 8:00,345.4
225,1/10/2023 9:00,346.5
233,1/10/2023 17:00,344.3
246,1/11/2023 6:00,247.5
247,1/11/2023 7:00,302.5
248,1/11/2023 8:00,309.1
249,1/11/2023 9:00,326.7
256,1/11/2023 16:00,319
257,1/11/2023 17:00,347.6
270,1/12/2023 6:00,258.5
271,1/12/2023 7:00,300.3
272,1/12/2023 8:00,330
281,1/12/2023 17:00,313.5
282,1/12/2023 18:00,314.6
295,1/13/2023 7:00,250.8
296,1/13/2023 8:00,255.2
297,1/13/2023 9:00,267.3
304,1/13/2023 16:00,278.3
305,1/13/2023 17:00,293.7
318,1/14/2023 6:00,203.5
319,1/14/2023 7:00,262.9
320,1/14/2023 8:00,315.7
328,1/14/2023 16:00,271.7
329,1/14/2023 17:00,288.2
330,1/14/2023 18:00,301.4
344,1/15/2023 8:00,237.6
345,1/15/2023 9:00,253
352,1/15/2023 16:00,248.6
353,1/15/2023 17:00,286
354,1/15/2023 18:00,293.7
355,1/15/2023 19:00,
356,1/15/2023 20:00,
357,1/15/2023 21:00,
358,1/15/2023 22:00,
359,1/15/2023 23:00,
360,1/16/2023 0:00,
361,1/16/2023 1:00,
362,1/16/2023 2:00,
363,1/16/2023 3:00,
364,1/16/2023 4:00,
365,1/16/2023 5:00,
366,1/16/2023 6:00,249.7
367,1/16/2023 7:00,250.8
368,1/16/2023 8:00,
369,1/16/2023 9:00,
370,1/16/2023 10:00,
371,1/16/2023 11:00,
372,1/16/2023 12:00,
373,1/16/2023 13:00,
374,1/16/2023 14:00,
375,1/16/2023 15:00,
376,1/16/2023 16:00,
377,1/16/2023 17:00,234.3
378,1/16/2023 18:00,292.6
379,1/16/2023 19:00,
380,1/16/2023 20:00,286
381,1/16/2023 21:00,
382,1/16/2023 22:00,
383,1/16/2023 23:00,
384,1/17/2023 0:00,
385,1/17/2023 1:00,
386,1/17/2023 2:00,
387,1/17/2023 3:00,
388,1/17/2023 4:00,
389,1/17/2023 5:00,
390,1/17/2023 6:00,211.2
391,1/17/2023 7:00,236.5
392,1/17/2023 8:00,
393,1/17/2023 9:00,269.5
394,1/17/2023 10:00,
395,1/17/2023 11:00,
396,1/17/2023 12:00,
397,1/17/2023 13:00,
398,1/17/2023 14:00,
399,1/17/2023 15:00,270.6
400,1/17/2023 16:00,
401,1/17/2023 17:00,321.2
402,1/17/2023 18:00,328.9
403,1/17/2023 19:00,
404,1/17/2023 20:00,328.9
405,1/17/2023 21:00,
406,1/17/2023 22:00,
407,1/17/2023 23:00,
408,1/18/2023 0:00,
409,1/18/2023 1:00,
410,1/18/2023 2:00,
411,1/18/2023 3:00,
412,1/18/2023 4:00,
413,1/18/2023 5:00,
414,1/18/2023 6:00,251.9
415,1/18/2023 7:00,300.3
416,1/18/2023 8:00,323.4
417,1/18/2023 9:00,
418,1/18/2023 10:00,
419,1/18/2023 11:00,
420,1/18/2023 12:00,
421,1/18/2023 13:00,
422,1/18/2023 14:00,
423,1/18/2023 15:00,
424,1/18/2023 16:00,
425,1/18/2023 17:00,305.8
426,1/18/2023 18:00,
427,1/18/2023 19:00,
428,1/18/2023 20:00,
429,1/18/2023 21:00,
430,1/18/2023 22:00,
431,1/18/2023 23:00,
432,1/19/2023 0:00,
433,1/19/2023 1:00,
434,1/19/2023 2:00,
435,1/19/2023 3:00,
436,1/19/2023 4:00,
437,1/19/2023 5:00,
438,1/19/2023 6:00,
439,1/19/2023 7:00,218.9
440,1/19/2023 8:00,273.9
441,1/19/2023 9:00,
442,1/19/2023 10:00,277.2
443,1/19/2023 11:00,
444,1/19/2023 12:00,
445,1/19/2023 13:00,
446,1/19/2023 14:00,
447,1/19/2023 15:00,
448,1/19/2023 16:00,
449,1/19/2023 17:00,279.4
450,1/19/2023 18:00,280.5
451,1/19/2023 19:00,
452,1/19/2023 20:00,
453,1/19/2023 21:00,
454,1/19/2023 22:00,
455,1/19/2023 23:00,
456,1/20/2023 0:00,
457,1/20/2023 1:00,
458,1/20/2023 2:00,
459,1/20/2023 3:00,
460,1/20/2023 4:00,
461,1/20/2023 5:00,
462,1/20/2023 6:00,184.8
463,1/20/2023 7:00,237.6
464,1/20/2023 8:00,254.1
465,1/20/2023 9:00,259.6
466,1/20/2023 10:00,
467,1/20/2023 11:00,
468,1/20/2023 12:00,
469,1/20/2023 13:00,
470,1/20/2023 14:00,
471,1/20/2023 15:00,
472,1/20/2023 16:00,
473,1/20/2023 17:00,
474,1/20/2023 18:00,253
475,1/20/2023 19:00,
476,1/20/2023 20:00,
477,1/20/2023 21:00,
478,1/20/2023 22:00,
479,1/20/2023 23:00,
480,1/21/2023 0:00,
481,1/21/2023 1:00,
482,1/21/2023 2:00,
483,1/21/2023 3:00,
484,1/21/2023 4:00,
485,1/21/2023 5:00,
486,1/21/2023 6:00,204.6
487,1/21/2023 7:00,242
488,1/21/2023 8:00,
489,1/21/2023 9:00,248.6
490,1/21/2023 10:00,
491,1/21/2023 11:00,
492,1/21/2023 12:00,
493,1/21/2023 13:00,
494,1/21/2023 14:00,
495,1/21/2023 15:00,
496,1/21/2023 16:00,
497,1/21/2023 17:00,
498,1/21/2023 18:00,242
499,1/21/2023 19:00,247.5
500,1/21/2023 20:00,
501,1/21/2023 21:00,
502,1/21/2023 22:00,
503,1/21/2023 23:00,
504,1/22/2023 0:00,
505,1/22/2023 1:00,
506,1/22/2023 2:00,
507,1/22/2023 3:00,
508,1/22/2023 4:00,
509,1/22/2023 5:00,
510,1/22/2023 6:00,
511,1/22/2023 7:00,
512,1/22/2023 8:00,213.4
513,1/22/2023 9:00,231
514,1/22/2023 10:00,236.5
515,1/22/2023 11:00,
516,1/22/2023 12:00,
517,1/22/2023 13:00,
518,1/22/2023 14:00,
519,1/22/2023 15:00,
520,1/22/2023 16:00,
521,1/22/2023 17:00,244.2
522,1/22/2023 18:00,257.4
523,1/22/2023 19:00,
524,1/22/2023 20:00,
525,1/22/2023 21:00,
526,1/22/2023 22:00,
527,1/22/2023 23:00,
528,1/23/2023 0:00,
529,1/23/2023 1:00,
530,1/23/2023 2:00,
531,1/23/2023 3:00,
532,1/23/2023 4:00,
533,1/23/2023 5:00,
534,1/23/2023 6:00,
535,1/23/2023 7:00,
536,1/23/2023 8:00,207.9
537,1/23/2023 9:00,214.5
538,1/23/2023 10:00,
539,1/23/2023 11:00,
540,1/23/2023 12:00,
541,1/23/2023 13:00,
542,1/23/2023 14:00,
543,1/23/2023 15:00,
544,1/23/2023 16:00,
545,1/23/2023 17:00,236.5
546,1/23/2023 18:00,262.9
547,1/23/2023 19:00,266.2
548,1/23/2023 20:00,
549,1/23/2023 21:00,
550,1/23/2023 22:00,
551,1/23/2023 23:00,
552,1/24/2023 0:00,
553,1/24/2023 1:00,
554,1/24/2023 2:00,
555,1/24/2023 3:00,
556,1/24/2023 4:00,
557,1/24/2023 5:00,202.4
558,1/24/2023 6:00,212.3
559,1/24/2023 7:00,291.5
560,1/24/2023 8:00,330
561,1/24/2023 9:00,
562,1/24/2023 10:00,
563,1/24/2023 11:00,
564,1/24/2023 12:00,
565,1/24/2023 13:00,
566,1/24/2023 14:00,
567,1/24/2023 15:00,
568,1/24/2023 16:00,301.4
569,1/24/2023 17:00,337.7
570,1/24/2023 18:00,376.2
571,1/24/2023 19:00,
572,1/24/2023 20:00,
573,1/24/2023 21:00,
574,1/24/2023 22:00,
575,1/24/2023 23:00,
576,1/25/2023 0:00,
577,1/25/2023 1:00,
578,1/25/2023 2:00,
579,1/25/2023 3:00,
580,1/25/2023 4:00,
581,1/25/2023 5:00,
582,1/25/2023 6:00,257.4
583,1/25/2023 7:00,333.3
584,1/25/2023 8:00,434.5
585,1/25/2023 9:00,438.9
586,1/25/2023 10:00,
587,1/25/2023 11:00,
588,1/25/2023 12:00,
589,1/25/2023 13:00,
590,1/25/2023 14:00,
591,1/25/2023 15:00,
592,1/25/2023 16:00,
593,1/25/2023 17:00,402.6
594,1/25/2023 18:00,438.9
595,1/25/2023 19:00,
596,1/25/2023 20:00,
597,1/25/2023 21:00,
598,1/25/2023 22:00,
599,1/25/2023 23:00,
600,1/26/2023 0:00,
601,1/26/2023 1:00,
602,1/26/2023 2:00,
603,1/26/2023 3:00,
604,1/26/2023 4:00,
605,1/26/2023 5:00,
606,1/26/2023 6:00,
607,1/26/2023 7:00,300.3
608,1/26/2023 8:00,
609,1/26/2023 9:00,308
610,1/26/2023 10:00,322.3
611,1/26/2023 11:00,
612,1/26/2023 12:00,
613,1/26/2023 13:00,
614,1/26/2023 14:00,
615,1/26/2023 15:00,
616,1/26/2023 16:00,
617,1/26/2023 17:00,
618,1/26/2023 18:00,
619,1/26/2023 19:00,
620,1/26/2023 20:00,
621,1/26/2023 21:00,
622,1/26/2023 22:00,
623,1/26/2023 23:00,
624,1/27/2023 0:00,
625,1/27/2023 1:00,
626,1/27/2023 2:00,
627,1/27/2023 3:00,
628,1/27/2023 4:00,
629,1/27/2023 5:00,
630,1/27/2023 6:00,
631,1/27/2023 7:00,221.1
632,1/27/2023 8:00,265.1
633,1/27/2023 9:00,267.3
634,1/27/2023 10:00,
635,1/27/2023 11:00,
636,1/27/2023 12:00,
637,1/27/2023 13:00,
638,1/27/2023 14:00,
639,1/27/2023 15:00,
640,1/27/2023 16:00,
641,1/27/2023 17:00,265.1
642,1/27/2023 18:00,298.1
643,1/27/2023 19:00,
644,1/27/2023 20:00,
645,1/27/2023 21:00,
646,1/27/2023 22:00,
647,1/27/2023 23:00,
648,1/28/2023 0:00,
649,1/28/2023 1:00,
650,1/28/2023 2:00,
651,1/28/2023 3:00,
652,1/28/2023 4:00,
653,1/28/2023 5:00,
654,1/28/2023 6:00,232.1
655,1/28/2023 7:00,276.1
656,1/28/2023 8:00,302.5
657,1/28/2023 9:00,317.9
658,1/28/2023 10:00,
659,1/28/2023 11:00,
660,1/28/2023 12:00,
661,1/28/2023 13:00,
662,1/28/2023 14:00,
663,1/28/2023 15:00,
664,1/28/2023 16:00,
665,1/28/2023 17:00,286
666,1/28/2023 18:00,
667,1/28/2023 19:00,
668,1/28/2023 20:00,
669,1/28/2023 21:00,
670,1/28/2023 22:00,
671,1/28/2023 23:00,
672,1/29/2023 0:00,
673,1/29/2023 1:00,
674,1/29/2023 2:00,
675,1/29/2023 3:00,
676,1/29/2023 4:00,
677,1/29/2023 5:00,
678,1/29/2023 6:00,
679,1/29/2023 7:00,171.6
680,1/29/2023 8:00,185.9
681,1/29/2023 9:00,
682,1/29/2023 10:00,210.1
683,1/29/2023 11:00,
684,1/29/2023 12:00,
685,1/29/2023 13:00,
686,1/29/2023 14:00,
687,1/29/2023 15:00,
688,1/29/2023 16:00,
689,1/29/2023 17:00,242
690,1/29/2023 18:00,
691,1/29/2023 19:00,
692,1/29/2023 20:00,
693,1/29/2023 21:00,
694,1/29/2023 22:00,
695,1/29/2023 23:00,
696,1/30/2023 0:00,
697,1/30/2023 1:00,
698,1/30/2023 2:00,
699,1/30/2023 3:00,
700,1/30/2023 4:00,
701,1/30/2023 5:00,
702,1/30/2023 6:00,155.1
703,1/30/2023 7:00,165
704,1/30/2023 8:00,221.1
705,1/30/2023 9:00,251.9
706,1/30/2023 10:00,
707,1/30/2023 11:00,
708,1/30/2023 12:00,
709,1/30/2023 13:00,
710,1/30/2023 14:00,
711,1/30/2023 15:00,
712,1/30/2023 16:00,
713,1/30/2023 17:00,262.9
714,1/30/2023 18:00,327.8
715,1/30/2023 19:00,
716,1/30/2023 20:00,
717,1/30/2023 21:00,
718,1/30/2023 22:00,
719,1/30/2023 23:00,
720,1/31/2023 0:00,
721,1/31/2023 1:00,
722,1/31/2023 2:00,
723,1/31/2023 3:00,
724,1/31/2023 4:00,
725,1/31/2023 5:00,
726,1/31/2023 6:00,194.7
727,1/31/2023 7:00,264
728,1/31/2023 8:00,271.7
729,1/31/2023 9:00,277.2
730,1/31/2023 10:00,
731,1/31/2023 11:00,
732,1/31/2023 12:00,
733,1/31/2023 13:00,
734,1/31/2023 14:00,
735,1/31/2023 15:00,
736,1/31/2023 16:00,
737,1/31/2023 17:00,
738,1/31/2023 18:00,279.4
739,1/31/2023 19:00,284.9
740,1/31/2023 20:00,
741,1/31/2023 21:00,
