datetime,temperature,total_horizontal_irradiation,diffuse_horizontal_irradiation
2023-01-01 00:00,5.54,0.0,0.0
2023-01-01 00:15,5.54,0.0,0.0
2023-01-01 00:30,5.54,0.0,0.0
2023-01-01 00:45,5.54,0.0,0.0
2023-01-01 01:00,5.81,0.0,0.0
2023-01-01 01:15,5.81,0.0,0.0
2023-01-01 01:30,5.81,0.0,0.0
2023-01-01 01:45,5.81,0.0,0.0
2023-01-01 02:00,6.09,0.0,0.0
2023-01-01 02:15,6.09,0.0,0.0
2023-01-01 02:30,6.09,0.0,0.0
2023-01-01 02:45,6.09,0.0,0.0
2023-01-01 03:00,6.37,0.0,0.0
2023-01-01 03:15,6.37,0.0,0.0
2023-01-01 03:30,6.37,0.0,0.0
2023-01-01 03:45,6.37,0.0,0.0
2023-01-01 04:00,6.65,0.0,0.0
2023-01-01 04:15,6.65,0.0,0.0
2023-01-01 04:30,6.65,0.0,0.0
2023-01-01 04:45,6.65,0.0,0.0
2023-01-01 05:00,6.93,0.0,0.0
2023-01-01 05:15,6.93,0.0,0.0
2023-01-01 05:30,6.93,0.0,0.0
2023-01-01 05:45,6.93,0.0,0.0
2023-01-01 06:00,7.21,0.0,0.0
2023-01-01 06:15,7.21,0.0,0.0
2023-01-01 06:30,7.21,0.0,0.0
2023-01-01 06:45,7.21,0.0,0.0
2023-01-01 07:00,7.49,0.0,0.0
2023-01-01 07:15,7.49,0.0,0.0
2023-01-01 07:30,7.49,0.0,0.0
2023-01-01 07:45,7.49,0.0,0.0
2023-01-01 08:00,6.15,0.0,0.0
2023-01-01 08:15,6.15,0.0,0.0
2023-01-01 08:30,6.15,0.0,0.0
2023-01-01 08:45,6.15,0.0,0.0
2023-01-01 09:00,6.78,52.0,49.0
2023-01-01 09:15,6.78,52.0,49.0
2023-01-01 09:30,6.78,52.0,49.0
2023-01-01 09:45,6.78,52.0,49.0
2023-01-01 10:00,7.31,50.0,50.0
2023-01-01 10:15,7.31,50.0,50.0
2023-01-01 10:30,7.31,50.0,50.0
2023-01-01 10:45,7.31,50.0,50.0
2023-01-01 11:00,7.8,37.0,37.0
2023-01-01 11:15,7.8,37.0,37.0
2023-01-01 11:30,7.8,37.0,37.0
2023-01-01 11:45,7.8,37.0,37.0
2023-01-01 12:00,8.35,37.0,37.0
2023-01-01 12:15,8.35,37.0,37.0
2023-01-01 12:30,8.35,37.0,37.0
2023-01-01 12:45,8.35,37.0,37.0
2023-01-01 13:00,8.78,53.0,53.0
2023-01-01 13:15,8.78,53.0,53.0
2023-01-01 13:30,8.78,53.0,53.0
2023-01-01 13:45,8.78,53.0,53.0
2023-01-01 14:00,9.07,41.0,41.0
2023-01-01 14:15,9.07,41.0,41.0
2023-01-01 14:30,9.07,41.0,41.0
2023-01-01 14:45,9.07,41.0,41.0
2023-01-01 15:00,9.0,13.0,13.0
2023-01-01 15:15,9.0,13.0,13.0
2023-01-01 15:30,9.0,13.0,13.0
2023-01-01 15:45,9.0,13.0,13.0
2023-01-01 16:00,8.5,0.0,0.0
2023-01-01 16:15,8.5,0.0,0.0
2023-01-01 16:30,8.5,0.0,0.0
2023-01-01 16:45,8.5,0.0,0.0
2023-01-01 17:00,7.69,0.0,0.0
2023-01-01 17:15,7.69,0.0,0.0
2023-01-01 17:30,7.69,0.0,0.0
2023-01-01 17:45,7.69,0.0,0.0
2023-01-01 18:00,7.16,0.0,0.0
2023-01-01 18:15,7.16,0.0,0.0
2023-01-01 18:30,7.16,0.0,0.0
2023-01-01 18:45,7.16,0.0,0.0
2023-01-01 19:00,6.76,0.0,0.0
2023-01-01 19:15,6.76,0.0,0.0
2023-01-01 19:30,6.76,0.0,0.0
2023-01-01 19:45,6.76,0.0,0.0
2023-01-01 20:00,6.46,0.0,0.0
2023-01-01 20:15,6.46,0.0,0.0
2023-01-01 20:30,6.46,0.0,0.0
2023-01-01 20:45,6.46,0.0,0.0
2023-01-01 21:00,6.45,0.0,0.0
2023-01-01 21:15,6.45,0.0,0.0
2023-01-01 21:30,6.45,0.0,0.0
2023-01-01 21:45,6.45,0.0,0.0
2023-01-01 22:00,6.19,0.0,0.0
2023-01-01 22:15,6.19,0.0,0.0
2023-01-01 22:30,6.19,0.0,0.0
2023-01-01 22:45,6.19,0.0,0.0
2023-01-01 23:00,6.0,0.0,0.0
2023-01-01 23:15,6.0,0.0,0.0
2023-01-01 23:30,6.0,0.0,0.0
2023-01-01 23:45,6.0,0.0,0.0
2023-01-02 00:00,5.92,0.0,0.0
2023-01-02 00:15,5.92,0.0,0.0
2023-01-02 00:30,5.92,0.0,0.0
2023-01-02 00:45,5.92,0.0,0.0
2023-01-02 01:00,5.74,0.0,0.0
2023-01-02 01:15,5.74,0.0,0.0
2023-01-02 01:30,5.74,0.0,0.0
2023-01-02 01:45,5.74,0.0,0.0
2023-01-02 02:00,5.6,0.0,0.0
2023-01-02 02:15,5.6,0.0,0.0
2023-01-02 02:30,5.6,0.0,0.0
2023-01-02 02:45,5.6,0.0,0.0
2023-01-02 03:00,5.65,0.0,0.0
2023-01-02 03:15,5.65,0.0,0.0
2023-01-02 03:30,5.65,0.0,0.0
2023-01-02 03:45,5.65,0.0,0.0
2023-01-02 04:00,5.72,0.0,0.0
2023-01-02 04:15,5.72,0.0,0.0
2023-01-02 04:30,5.72,0.0,0.0
2023-01-02 04:45,5.72,0.0,0.0
2023-01-02 05:00,5.77,0.0,0.0
2023-01-02 05:15,5.77,0.0,0.0
2023-01-02 05:30,5.77,0.0,0.0
2023-01-02 05:45,5.77,0.0,0.0
2023-01-02 06:00,5.6,0.0,0.0
2023-01-02 06:15,5.6,0.0,0.0
2023-01-02 06:30,5.6,0.0,0.0
2023-01-02 06:45,5.6,0.0,0.0
2023-01-02 07:00,5.28,0.0,0.0
2023-01-02 07:15,5.28,0.0,0.0
2023-01-02 07:30,5.28,0.0,0.0
2023-01-02 07:45,5.28,0.0,0.0
2023-01-02 08:00,5.47,0.0,0.0
2023-01-02 08:15,5.47,0.0,0.0
2023-01-02 08:30,5.47,0.0,0.0
2023-01-02 08:45,5.47,0.0,0.0
2023-01-02 09:00,5.64,64.0,56.0
2023-01-02 09:15,5.64,64.0,56.0
2023-01-02 09:30,5.64,64.0,56.0
2023-01-02 09:45,5.64,64.0,56.0
2023-01-02 10:00,6.17,92.0,87.0
2023-01-02 10:15,6.17,92.0,87.0
2023-01-02 10:30,6.17,92.0,87.0
2023-01-02 10:45,6.17,92.0,87.0
2023-01-02 11:00,6.82,135.0,119.0
2023-01-02 11:15,6.82,135.0,119.0
2023-01-02 11:30,6.82,135.0,119.0
2023-01-02 11:45,6.82,135.0,119.0
2023-01-02 12:00,7.11,138.0,121.0
2023-01-02 12:15,7.11,138.0,121.0
2023-01-02 12:30,7.11,138.0,121.0
2023-01-02 12:45,7.11,138.0,121.0
2023-01-02 13:00,7.26,99.0,93.0
2023-01-02 13:15,7.26,99.0,93.0
2023-01-02 13:30,7.26,99.0,93.0
2023-01-02 13:45,7.26,99.0,93.0
2023-01-02 14:00,6.97,60.0,58.0
2023-01-02 14:15,6.97,60.0,58.0
2023-01-02 14:30,6.97,60.0,58.0
2023-01-02 14:45,6.97,60.0,58.0
2023-01-02 15:00,6.23,22.0,19.0
2023-01-02 15:15,6.23,22.0,19.0
2023-01-02 15:30,6.23,22.0,19.0
2023-01-02 15:45,6.23,22.0,19.0
2023-01-02 16:00,5.03,0.0,0.0
2023-01-02 16:15,5.03,0.0,0.0
2023-01-02 16:30,5.03,0.0,0.0
2023-01-02 16:45,5.03,0.0,0.0
2023-01-02 17:00,4.1,0.0,0.0
2023-01-02 17:15,4.1,0.0,0.0
2023-01-02 17:30,4.1,0.0,0.0
2023-01-02 17:45,4.1,0.0,0.0
2023-01-02 18:00,3.47,0.0,0.0
2023-01-02 18:15,3.47,0.0,0.0
2023-01-02 18:30,3.47,0.0,0.0
2023-01-02 18:45,3.47,0.0,0.0
2023-01-02 19:00,3.12,0.0,0.0
2023-01-02 19:15,3.12,0.0,0.0
2023-01-02 19:30,3.12,0.0,0.0
2023-01-02 19:45,3.12,0.0,0.0
2023-01-02 20:00,2.67,0.0,0.0
2023-01-02 20:15,2.67,0.0,0.0
2023-01-02 20:30,2.67,0.0,0.0
2023-01-02 20:45,2.67,0.0,0.0
2023-01-02 21:00,2.3,0.0,0.0
2023-01-02 21:15,2.3,0.0,0.0
2023-01-02 21:30,2.3,0.0,0.0
2023-01-02 21:45,2.3,0.0,0.0
2023-01-02 22:00,1.88,0.0,0.0
2023-01-02 22:15,1.88,0.0,0.0
2023-01-02 22:30,1.88,0.0,0.0
2023-01-02 22:45,1.88,0.0,0.0
2023-01-02 23:00,1.72,0.0,0.0
2023-01-02 23:15,1.72,0.0,0.0
2023-01-02 23:30,1.72,0.0,0.0
2023-01-02 23:45,1.72,0.0,0.0
2023-01-03 00:00,2.13,0.0,0.0
2023-01-03 00:15,2.13,0.0,0.0
2023-01-03 00:30,2.13,0.0,0.0
2023-01-03 00:45,2.13,0.0,0.0
2023-01-03 01:00,1.98,0.0,0.0
2023-01-03 01:15,1.98,0.0,0.0
2023-01-03 01:30,1.98,0.0,0.0
2023-01-03 01:45,1.98,0.0,0.0
2023-01-03 02:00,2.26,0.0,0.0
2023-01-03 02:15,2.26,0.0,0.0
2023-01-03 02:30,2.26,0.0,0.0
2023-01-03 02:45,2.26,0.0,0.0
2023-01-03 03:00,2.52,0.0,0.0
2023-01-03 03:15,2.52,0.0,0.0
2023-01-03 03:30,2.52,0.0,0.0
2023-01-03 03:45,2.52,0.0,0.0
2023-01-03 04:00,2.59,0.0,0.0
2023-01-03 04:15,2.59,0.0,0.0
2023-01-03 04:30,2.59,0.0,0.0
2023-01-03 04:45,2.59,0.0,0.0
2023-01-03 05:00,2.53,0.0,0.0
2023-01-03 05:15,2.53,0.0,0.0
2023-01-03 05:30,2.53,0.0,0.0
2023-01-03 05:45,2.53,0.0,0.0
2023-01-03 06:00,2.63,0.0,0.0
2023-01-03 06:15,2.63,0.0,0.0
2023-01-03 06:30,2.63,0.0,0.0
2023-01-03 06:45,2.63,0.0,0.0
2023-01-03 07:00,3.47,0.0,0.0
2023-01-03 07:15,3.47,0.0,0.0
2023-01-03 07:30,3.47,0.0,0.0
2023-01-03 07:45,3.47,0.0,0.0
2023-01-03 08:00,3.49,0.0,0.0
2023-01-03 08:15,3.49,0.0,0.0
2023-01-03 08:30,3.49,0.0,0.0
2023-01-03 08:45,3.49,0.0,0.0
2023-01-03 09:00,3.61,91.0,59.0
2023-01-03 09:15,3.61,91.0,59.0
2023-01-03 09:30,3.61,91.0,59.0
2023-01-03 09:45,3.61,91.0,59.0
2023-01-03 10:00,4.6,158.0,96.0
2023-01-03 10:15,4.6,158.0,96.0
2023-01-03 10:30,4.6,158.0,96.0
2023-01-03 10:45,4.6,158.0,96.0
2023-01-03 11:00,5.32,186.0,122.0
2023-01-03 11:15,5.32,186.0,122.0
2023-01-03 11:30,5.32,186.0,122.0
2023-01-03 11:45,5.32,186.0,122.0
2023-01-03 12:00,6.08,76.0,76.0
2023-01-03 12:15,6.08,76.0,76.0
2023-01-03 12:30,6.08,76.0,76.0
2023-01-03 12:45,6.08,76.0,76.0
2023-01-03 13:00,6.22,114.0,102.0
2023-01-03 13:15,6.22,114.0,102.0
2023-01-03 13:30,6.22,114.0,102.0
2023-01-03 13:45,6.22,114.0,102.0
2023-01-03 14:00,6.11,83.0,70.0
2023-01-03 14:15,6.11,83.0,70.0
2023-01-03 14:30,6.11,83.0,70.0
2023-01-03 14:45,6.11,83.0,70.0
2023-01-03 15:00,5.8,34.0,22.0
2023-01-03 15:15,5.8,34.0,22.0
2023-01-03 15:30,5.8,34.0,22.0
2023-01-03 15:45,5.8,34.0,22.0
2023-01-03 16:00,5.17,0.0,0.0
2023-01-03 16:15,5.17,0.0,0.0
2023-01-03 16:30,5.17,0.0,0.0
2023-01-03 16:45,5.17,0.0,0.0
2023-01-03 17:00,4.4,0.0,0.0
2023-01-03 17:15,4.4,0.0,0.0
2023-01-03 17:30,4.4,0.0,0.0
2023-01-03 17:45,4.4,0.0,0.0
2023-01-03 18:00,3.99,0.0,0.0
2023-01-03 18:15,3.99,0.0,0.0
2023-01-03 18:30,3.99,0.0,0.0
2023-01-03 18:45,3.99,0.0,0.0
2023-01-03 19:00,3.84,0.0,0.0
2023-01-03 19:15,3.84,0.0,0.0
2023-01-03 19:30,3.84,0.0,0.0
2023-01-03 19:45,3.84,0.0,0.0
2023-01-03 20:00,3.17,0.0,0.0
2023-01-03 20:15,3.17,0.0,0.0
2023-01-03 20:30,3.17,0.0,0.0
2023-01-03 20:45,3.17,0.0,0.0
2023-01-03 21:00,2.58,0.0,0.0
2023-01-03 21:15,2.58,0.0,0.0
2023-01-03 21:30,2.58,0.0,0.0
2023-01-03 21:45,2.58,0.0,0.0
2023-01-03 22:00,2.33,0.0,0.0
2023-01-03 22:15,2.33,0.0,0.0
2023-01-03 22:30,2.33,0.0,0.0
2023-01-03 22:45,2.33,0.0,0.0
2023-01-03 23:00,2.2,0.0,0.0
2023-01-03 23:15,2.2,0.0,0.0
2023-01-03 23:30,2.2,0.0,0.0
2023-01-03 23:45,2.2,0.0,0.0
2023-01-04 00:00,2.71,0.0,0.0
2023-01-04 00:15,2.71,0.0,0.0
2023-01-04 00:30,2.71,0.0,0.0
2023-01-04 00:45,2.71,0.0,0.0
2023-01-04 01:00,3.14,0.0,0.0
2023-01-04 01:15,3.14,0.0,0.0
2023-01-04 01:30,3.14,0.0,0.0
2023-01-04 01:45,3.14,0.0,0.0
2023-01-04 02:00,3.11,0.0,0.0
2023-01-04 02:15,3.11,0.0,0.0
2023-01-04 02:30,3.11,0.0,0.0
2023-01-04 02:45,3.11,0.0,0.0
2023-01-04 03:00,3.38,0.0,0.0
2023-01-04 03:15,3.38,0.0,0.0
2023-01-04 03:30,3.38,0.0,0.0
2023-01-04 03:45,3.38,0.0,0.0
2023-01-04 04:00,3.61,0.0,0.0
2023-01-04 04:15,3.61,0.0,0.0
2023-01-04 04:30,3.61,0.0,0.0
2023-01-04 04:45,3.61,0.0,0.0
2023-01-04 05:00,3.81,0.0,0.0
2023-01-04 05:15,3.81,0.0,0.0
2023-01-04 05:30,3.81,0.0,0.0
2023-01-04 05:45,3.81,0.0,0.0
2023-01-04 06:00,4.08,0.0,0.0
2023-01-04 06:15,4.08,0.0,0.0
2023-01-04 06:30,4.08,0.0,0.0
2023-01-04 06:45,4.08,0.0,0.0
2023-01-04 07:00,4.08,0.0,0.0
2023-01-04 07:15,4.08,0.0,0.0
2023-01-04 07:30,4.08,0.0,0.0
2023-01-04 07:45,4.08,0.0,0.0
2023-01-04 08:00,3.98,0.0,0.0
2023-01-04 08:15,3.98,0.0,0.0
2023-01-04 08:30,3.98,0.0,0.0
2023-01-04 08:45,3.98,0.0,0.0
2023-01-04 09:00,3.88,85.0,60.0
2023-01-04 09:15,3.88,85.0,60.0
2023-01-04 09:30,3.88,85.0,60.0
2023-01-04 09:45,3.88,85.0,60.0
2023-01-04 10:00,4.3,75.0,74.0
2023-01-04 10:15,4.3,75.0,74.0
2023-01-04 10:30,4.3,75.0,74.0
2023-01-04 10:45,4.3,75.0,74.0
2023-01-04 11:00,4.48,80.0,80.0
2023-01-04 11:15,4.48,80.0,80.0
2023-01-04 11:30,4.48,80.0,80.0
2023-01-04 11:45,4.48,80.0,80.0
2023-01-04 12:00,4.49,110.0,106.0
2023-01-04 12:15,4.49,110.0,106.0
2023-01-04 12:30,4.49,110.0,106.0
2023-01-04 12:45,4.49,110.0,106.0
2023-01-04 13:00,4.41,82.0,81.0
2023-01-04 13:15,4.41,82.0,81.0
2023-01-04 13:30,4.41,82.0,81.0
2023-01-04 13:45,4.41,82.0,81.0
2023-01-04 14:00,4.17,19.0,19.0
2023-01-04 14:15,4.17,19.0,19.0
2023-01-04 14:30,4.17,19.0,19.0
2023-01-04 14:45,4.17,19.0,19.0
2023-01-04 15:00,3.94,16.0,16.0
2023-01-04 15:15,3.94,16.0,16.0
2023-01-04 15:30,3.94,16.0,16.0
2023-01-04 15:45,3.94,16.0,16.0
2023-01-04 16:00,3.59,0.0,0.0
2023-01-04 16:15,3.59,0.0,0.0
2023-01-04 16:30,3.59,0.0,0.0
2023-01-04 16:45,3.59,0.0,0.0
2023-01-04 17:00,3.33,0.0,0.0
2023-01-04 17:15,3.33,0.0,0.0
2023-01-04 17:30,3.33,0.0,0.0
2023-01-04 17:45,3.33,0.0,0.0
2023-01-04 18:00,3.59,0.0,0.0
2023-01-04 18:15,3.59,0.0,0.0
2023-01-04 18:30,3.59,0.0,0.0
2023-01-04 18:45,3.59,0.0,0.0
2023-01-04 19:00,3.61,0.0,0.0
2023-01-04 19:15,3.61,0.0,0.0
2023-01-04 19:30,3.61,0.0,0.0
2023-01-04 19:45,3.61,0.0,0.0
2023-01-04 20:00,3.97,0.0,0.0
2023-01-04 20:15,3.97,0.0,0.0
2023-01-04 20:30,3.97,0.0,0.0
2023-01-04 20:45,3.97,0.0,0.0
2023-01-04 21:00,4.33,0.0,0.0
2023-01-04 21:15,4.33,0.0,0.0
2023-01-04 21:30,4.33,0.0,0.0
2023-01-04 21:45,4.33,0.0,0.0
2023-01-04 22:00,4.77,0.0,0.0
2023-01-04 22:15,4.77,0.0,0.0
2023-01-04 22:30,4.77,0.0,0.0
2023-01-04 22:45,4.77,0.0,0.0
2023-01-04 23:00,5.15,0.0,0.0
2023-01-04 23:15,5.15,0.0,0.0
2023-01-04 23:30,5.15,0.0,0.0
2023-01-04 23:45,5.15,0.0,0.0
2023-01-05 00:00,5.42,0.0,0.0
2023-01-05 00:15,5.42,0.0,0.0
2023-01-05 00:30,5.42,0.0,0.0
2023-01-05 00:45,5.42,0.0,0.0
2023-01-05 01:00,5.78,0.0,0.0
2023-01-05 01:15,5.78,0.0,0.0
2023-01-05 01:30,5.78,0.0,0.0
2023-01-05 01:45,5.78,0.0,0.0
2023-01-05 02:00,5.93,0.0,0.0
2023-01-05 02:15,5.93,0.0,0.0
2023-01-05 02:30,5.93,0.0,0.0
